,link,hour,qlength,congestion,nvehicles
270,42027,7-8,68.358,0.3315175097276265,71
271,42028,7-8,26.00600000000003,0.17205882352941174,39
272,51001,7-8,67.93799999999999,0.3107142857142857,58
273,51002,7-8,30.97999999999996,0.264,44
274,51003,7-8,37.13799999999998,0.4317073170731707,59
275,51004,7-8,20.24000000000001,0.3169811320754717,56
276,51005,7-8,20.24000000000001,0.3431654676258993,53
277,51006,7-8,13.109999999999957,0.2875,46
278,51007,7-8,48.827999999999975,0.34758620689655173,56
279,51008,7-8,48.827999999999975,0.24846625766871167,45
280,51009,7-8,49.587999999999965,0.23124999999999998,37
281,51010,7-8,49.548,0.38164556962025314,67
282,51011,7-8,49.148000000000025,0.36666666666666664,66
283,51012,7-8,454.76199999999994,0.27115384615384613,47
284,51013,7-8,51.148000000000025,0.192,32
285,51014,7-8,75.928,0.23823529411764707,45
286,51015,7-8,75.928,0.4659574468085106,73
287,51016,7-8,39.19799999999998,0.2964705882352941,56
288,51017,7-8,24.370000000000005,0.318,53
289,51018,7-8,13.180000000000007,0.25102040816326526,41
290,51019,7-8,44.01800000000003,0.3021428571428571,47
291,51020,7-8,43.827999999999975,0.4307142857142857,67
292,51021,7-8,31.91999999999996,0.39069767441860465,56
293,51022,7-8,62.988,0.30315789473684207,64
294,51023,7-8,25.529999999999973,0.3401574803149606,36
295,51024,7-8,25.789999999999964,0.22235294117647061,42
296,51025,7-8,25.789999999999964,0.34071428571428575,53
297,51026,7-8,42.74799999999999,0.3070588235294118,58
298,51027,7-8,42.74799999999999,0.40684931506849314,66
299,51028,7-8,14.029999999999973,0.31721311475409836,43
300,51029,7-8,6.680000000000007,0.2037735849056604,36
301,51030,7-8,80.31799999999998,0.2578947368421053,49
302,51031,7-8,80.31799999999998,0.525,77
303,51032,7-8,31.69999999999999,0.4423728813559322,58
304,51033,7-8,19.109999999999957,0.25471698113207547,45
305,51034,7-8,32.65999999999997,0.32448979591836735,53
306,51035,7-8,56.13799999999998,0.3122448979591837,51
307,51036,7-8,56.13799999999998,0.2877906976744186,55
308,51037,7-8,31.579999999999984,0.2980132450331126,50
309,51038,7-8,31.579999999999984,0.312,52
310,51039,7-8,57.327999999999975,0.27,51
311,51040,7-8,67.358,0.351219512195122,64
312,51041,7-8,25.639999999999986,0.347244094488189,49
313,51042,7-8,25.21999999999997,0.2511627906976744,48
314,51043,7-8,25.21999999999997,0.40135135135135136,66
315,51044,7-8,34.148000000000025,0.38164556962025314,67
316,51045,7-8,81.09800000000001,0.3718562874251497,69
317,51046,7-8,43.18799999999999,0.34838709677419355,60
318,51047,7-8,43.18799999999999,0.3073170731707317,42
319,51048,7-8,25.839999999999975,0.1988372093023256,38
320,12001,8-9,12.920999999999935,0.09890109890109891,15
321,12002,8-9,12.920999999999935,0.10434782608695652,16
322,12003,8-9,7.020999999999958,0.22429906542056074,40
323,12004,8-9,7.020999999999958,0.174,29
324,12005,8-9,1.7709999999999582,0.08,14
325,12006,8-9,228.993,0.1333333333333333,24
326,12007,8-9,136.15099999999995,0.3232876712328767,59
327,12008,8-9,13.880999999999972,0.17943925233644858,32
328,12009,8-9,13.880999999999972,0.24126984126984127,38
329,12010,8-9,1.7509999999999764,0.1851063829787234,29
330,12011,8-9,0.0,0.13028571428571428,19
331,12012,8-9,0.0,0.2,30
332,12013,8-9,13.560999999999979,0.19354838709677422,30
333,12014,8-9,396.263,0.18857142857142858,33
334,12015,8-9,192.59299999999996,0.2535211267605634,45
335,12016,8-9,192.28299999999996,0.16153846153846155,28
336,12017,8-9,20.500999999999976,0.14054054054054052,26
337,12018,8-9,122.28099999999995,0.20826446280991734,42
338,12019,8-9,374.703,0.20869565217391303,32
339,12020,8-9,7.971000000000004,0.12360515021459227,24
340,12021,8-9,13.350999999999999,0.16492890995260662,29
341,12022,8-9,18.950999999999965,0.28156424581005585,42
342,12023,8-9,6.5709999999999695,0.20943396226415095,37
343,12024,8-9,374.703,0.13779904306220095,24
344,12025,8-9,19.480999999999995,0.21139896373056996,34
345,12026,8-9,14.510999999999967,0.17142857142857143,30
346,12027,8-9,19.78099999999995,0.1218274111675127,20
347,12028,8-9,1.5910000000000082,0.17938144329896907,29
348,12029,8-9,31.510999999999967,0.21238938053097345,40
349,12030,8-9,31.510999999999967,0.27738693467336684,46
350,12031,8-9,14.460999999999956,0.216,36
351,12032,8-9,7.850999999999999,0.16310679611650486,28
352,12033,8-9,192.40299999999996,0.13744493392070484,26
353,12034,8-9,7.61099999999999,0.1565217391304348,30
354,12035,8-9,13.060999999999979,0.15248618784530388,23
355,21001,8-9,32.144000000000005,0.3190751445086705,46
356,21002,8-9,332.93499999999995,0.29497206703910617,44
357,21003,8-9,339.765,0.37346938775510197,61
358,21004,8-9,56.65399999999994,0.5454545454545455,70
359,21005,8-9,51.233999999999924,0.496551724137931,60
360,21006,8-9,1.5039999999999054,0.2586826347305389,36
361,21007,8-9,339.55499999999995,0.29222797927461136,47
362,21008,8-9,345.55499999999995,0.46849315068493147,57
363,21009,8-9,13.513999999999896,0.46551724137931033,45
364,21010,8-9,363.42499999999995,0.36923076923076925,60
365,21011,8-9,333.255,0.5823529411764706,66
366,21012,8-9,39.39399999999995,0.34966887417218545,44
367,21013,8-9,136.11399999999992,0.4340425531914894,68
368,21014,8-9,333.19499999999994,0.41162790697674423,59
369,21015,8-9,345.93499999999995,0.40615384615384614,44
370,21016,8-9,13.95399999999995,0.35257731958762883,57
371,21017,8-9,13.95399999999995,0.3518796992481203,39
372,21018,8-9,39.04399999999998,0.46229508196721314,47
373,21019,8-9,333.17499999999995,0.41298701298701296,53
374,21020,8-9,338.92499999999995,0.3172413793103449,46
375,21021,8-9,118.98399999999992,0.3090909090909091,51
376,21022,8-9,339.47499999999997,0.41632653061224495,68
377,21023,8-9,141.58399999999995,0.5381818181818182,74
378,21024,8-9,345.85499999999996,0.415609756097561,71
379,21025,8-9,37.073999999999955,0.40575539568345326,47
380,21026,8-9,13.12399999999991,0.3317073170731707,34
381,21027,8-9,56.523999999999944,0.29112426035502953,41
382,21028,8-9,111.98399999999992,0.4851063829787234,76
383,21029,8-9,333.28499999999997,0.47647058823529415,54
384,21030,8-9,1.6339999999999009,0.31475409836065577,32
385,21031,8-9,49.313999999999965,0.31807228915662655,44
386,21032,8-9,118.98399999999992,0.5684210526315789,72
387,21033,8-9,111.98399999999992,0.46849315068493147,57
388,21034,8-9,423.22499999999997,0.32061068702290074,35
389,21035,8-9,32.78399999999999,0.2823529411764706,36
390,21036,8-9,36.803999999999974,0.40769230769230774,53
391,21037,8-9,25.553999999999974,0.3114503816793894,34
392,21038,8-9,130.6239999999999,0.3037037037037037,41
393,21039,8-9,339.61499999999995,0.31532846715328466,36
394,21040,8-9,111.98399999999992,0.264,33
395,21041,8-9,18.8839999999999,0.2723926380368098,37
396,21042,8-9,333.11499999999995,0.29222797927461136,47
397,21043,8-9,43.67399999999998,0.41739130434782606,56
398,21044,8-9,333.0849999999999,0.43943661971830983,52
399,21045,8-9,333.41499999999996,0.17326203208556148,27
400,22001,8-9,324.91200000000003,0.24277456647398846,35
401,22002,8-9,354.432,0.2547486033519553,38
402,22003,8-9,354.41200000000003,0.2877551020408163,47
403,22004,8-9,318.452,0.23376623376623373,30
404,22005,8-9,2.0049999999999955,0.28965517241379307,35
405,22006,8-9,358.762,0.3089820359281437,43
406,22007,8-9,330.652,0.33575129533678755,54
407,22008,8-9,323.892,0.41917808219178077,51
408,22009,8-9,330.922,0.393103448275862,38
409,22010,8-9,312.052,0.20307692307692307,33
410,22011,8-9,37.434999999999945,0.35294117647058826,40
411,22012,8-9,312.172,0.2781456953642384,35
412,22013,8-9,318.442,0.19148936170212766,30
413,22014,8-9,26.274999999999977,0.2930232558139535,42
414,22015,8-9,312.432,0.3138461538461539,34
415,22016,8-9,339.632,0.2721649484536082,44
416,22017,8-9,323.722,0.4601503759398496,51
417,22018,8-9,318.592,0.3442622950819672,35
418,22019,8-9,318.442,0.2649350649350649,34
419,22020,8-9,318.442,0.23448275862068968,34
420,22021,8-9,415.692,0.27272727272727276,45
421,22022,8-9,324.612,0.30612244897959184,50
422,22023,8-9,318.182,0.26181818181818184,36
423,22024,8-9,318.482,0.18146341463414634,31
424,22025,8-9,7.975000000000023,0.3798561151079136,44
425,22026,8-9,7.274999999999977,0.3609756097560976,37
426,22027,8-9,312.152,0.29112426035502953,41
427,22028,8-9,312.29200000000003,0.24893617021276598,39
428,22029,8-9,7.085000000000036,0.30000000000000004,34
429,22030,8-9,114.68499999999995,0.26557377049180325,27
430,22031,8-9,312.142,0.22409638554216868,31
431,22032,8-9,324.712,0.34736842105263155,44
432,22033,8-9,20.664999999999964,0.22191780821917806,27
433,22034,8-9,14.835000000000036,0.22900763358778625,25
434,22035,8-9,346.092,0.2823529411764706,36
435,22036,8-9,336.742,0.3615384615384615,47
436,22037,8-9,318.422,0.32061068702290074,35
437,22038,8-9,329.202,0.3037037037037037,41
438,22039,8-9,312.282,0.31532846715328466,36
439,22040,8-9,312.462,0.336,42
440,22041,8-9,26.514999999999986,0.2576687116564417,35
441,22042,8-9,312.312,0.2176165803108808,35
442,22043,8-9,325.072,0.2385093167701863,32
443,22044,8-9,312.332,0.21971830985915491,26
444,22045,8-9,0.0,0.12834224598930483,20
445,31001,8-9,414.004,0.4402010050251256,73
446,31002,8-9,420.55400000000003,0.4482758620689656,65
447,31003,8-9,137.72900000000004,0.4131147540983607,63
448,31004,8-9,414.064,0.4081218274111675,67
449,31005,8-9,456.504,0.43953488372093025,63
450,31006,8-9,413.934,0.4103225806451613,53
451,31007,8-9,522.014,0.39545454545454545,58
452,31008,8-9,450.014,0.3866666666666666,58
453,31009,8-9,414.014,0.28,42
454,31010,8-9,431.894,0.38672985781990526,68
455,31011,8-9,420.644,0.54,81
