period,inter,direc,cycle,type,pollutant,emi
morning1,Dunbar,SB,24,21,Total Gaseous Hydrocarbons,26.665933686000006
morning1,Dunbar,SB,23,61,Total Energy,882166406.5397002
morning1,Dunbar,SB,23,61,Atmospheric CO2,64981.274748150005
morning1,Dunbar,SB,23,61,Nitrous Oxide,0.14648299333599996
morning1,Dunbar,SB,23,61,Methane,2.961082285103265
morning1,Dunbar,SB,23,61,Total Gaseous Hydrocarbons,21.758897262380003
morning1,Dunbar,SB,23,52,Total Energy,0.0
morning1,Dunbar,SB,23,52,Atmospheric CO2,0.0
morning1,Dunbar,SB,23,52,Nitrous Oxide,0.0
morning1,Dunbar,SB,23,52,Methane,0.0
morning1,Dunbar,SB,23,52,Total Gaseous Hydrocarbons,0.0
morning1,Dunbar,SB,23,42,Total Energy,373136426.59000003
morning1,Dunbar,SB,23,42,Atmospheric CO2,27470.293509999996
morning1,Dunbar,SB,23,42,Nitrous Oxide,0.041204394679999985
morning1,Dunbar,SB,23,42,Methane,0.7154560000060005
morning1,Dunbar,SB,23,42,Total Gaseous Hydrocarbons,6.308568777000001
morning1,Dunbar,SB,23,21,Total Energy,1481868766.195
morning1,Dunbar,SB,23,21,Atmospheric CO2,106518.2590811
morning1,Dunbar,SB,23,21,Nitrous Oxide,0.4846142109013
morning1,Dunbar,SB,23,21,Methane,1.75615111649852
morning1,Dunbar,SB,23,21,Total Gaseous Hydrocarbons,16.0612592402
morning1,Dunbar,SB,22,61,Total Energy,1219986622.9083998
morning1,Dunbar,SB,22,61,Atmospheric CO2,89865.52912082999
morning1,Dunbar,SB,22,61,Nitrous Oxide,0.1903899130885
morning1,Dunbar,SB,22,61,Methane,4.162704695487296
morning1,Dunbar,SB,22,61,Total Gaseous Hydrocarbons,30.566987128669997
morning1,Dunbar,SB,22,52,Total Energy,533103754.0
morning1,Dunbar,SB,22,52,Atmospheric CO2,38923.33799999998
morning1,Dunbar,SB,22,52,Nitrous Oxide,0.18720317469999997
morning1,Dunbar,SB,22,52,Methane,1.4646715163399997
morning1,Dunbar,SB,22,52,Total Gaseous Hydrocarbons,14.357836499999996
morning1,Dunbar,SB,22,42,Total Energy,352092758.62
morning1,Dunbar,SB,22,42,Atmospheric CO2,25918.869271999996
morning1,Dunbar,SB,22,42,Nitrous Oxide,0.06971226926
morning1,Dunbar,SB,22,42,Methane,1.3140114607200004
morning1,Dunbar,SB,22,42,Total Gaseous Hydrocarbons,12.748073902999993
morning1,Dunbar,SB,22,21,Total Energy,2713196370.9960003
morning1,Dunbar,SB,22,21,Atmospheric CO2,195027.471983
morning1,Dunbar,SB,22,21,Nitrous Oxide,0.9370304043319001
morning1,Dunbar,SB,22,21,Methane,2.3630702502727914
morning1,Dunbar,SB,22,21,Total Gaseous Hydrocarbons,24.140217169000003
morning1,Dunbar,SB,21,61,Total Energy,818405356.3833998
morning1,Dunbar,SB,21,61,Atmospheric CO2,60284.56832710002
morning1,Dunbar,SB,21,61,Nitrous Oxide,0.1441111605088
morning1,Dunbar,SB,21,61,Methane,3.1641912678461344
morning1,Dunbar,SB,21,61,Total Gaseous Hydrocarbons,23.149768559089996
morning1,Dunbar,SB,21,52,Total Energy,0.0
morning1,Dunbar,SB,21,52,Atmospheric CO2,0.0
morning1,Dunbar,SB,21,52,Nitrous Oxide,0.0
morning1,Dunbar,SB,21,52,Methane,0.0
morning1,Dunbar,SB,21,52,Total Gaseous Hydrocarbons,0.0
morning1,Dunbar,SB,21,42,Total Energy,0.0
morning1,Dunbar,SB,21,42,Atmospheric CO2,0.0
morning1,Dunbar,SB,21,42,Nitrous Oxide,0.0
morning1,Dunbar,SB,21,42,Methane,0.0
morning1,Dunbar,SB,21,42,Total Gaseous Hydrocarbons,0.0
morning1,Dunbar,SB,21,21,Total Energy,1884429002.703
morning1,Dunbar,SB,21,21,Atmospheric CO2,135454.68773950002
morning1,Dunbar,SB,21,21,Nitrous Oxide,0.6138947437431002
morning1,Dunbar,SB,21,21,Methane,1.9774084409149901
morning1,Dunbar,SB,21,21,Total Gaseous Hydrocarbons,18.747137440900005
morning1,Dunbar,SB,20,61,Total Energy,1342258784.5808
morning1,Dunbar,SB,20,61,Atmospheric CO2,98872.13169091997
morning1,Dunbar,SB,20,61,Nitrous Oxide,0.09457809375760001
morning1,Dunbar,SB,20,61,Methane,1.6788833586514513
morning1,Dunbar,SB,20,61,Total Gaseous Hydrocarbons,11.813653548380001
morning1,Dunbar,SB,20,52,Total Energy,310176449.0
morning1,Dunbar,SB,20,52,Atmospheric CO2,22677.479599999995
morning1,Dunbar,SB,20,52,Nitrous Oxide,0.0706823269
morning1,Dunbar,SB,20,52,Methane,0.5128027000600003
morning1,Dunbar,SB,20,52,Total Gaseous Hydrocarbons,7.9351839
morning1,Dunbar,SB,20,42,Total Energy,0.0
morning1,Dunbar,SB,20,42,Atmospheric CO2,0.0
morning1,Dunbar,SB,20,42,Nitrous Oxide,0.0
morning1,Dunbar,SB,20,42,Methane,0.0
morning1,Dunbar,SB,20,42,Total Gaseous Hydrocarbons,0.0
morning1,Dunbar,SB,20,21,Total Energy,3339466749.117
morning1,Dunbar,SB,20,21,Atmospheric CO2,240044.11017890004
morning1,Dunbar,SB,20,21,Nitrous Oxide,1.0746507561597
morning1,Dunbar,SB,20,21,Methane,3.6199918403067
morning1,Dunbar,SB,20,21,Total Gaseous Hydrocarbons,33.91291871200001
morning1,Dunbar,SB,19,61,Total Energy,899502310.7438998
morning1,Dunbar,SB,19,61,Atmospheric CO2,66258.26297537002
morning1,Dunbar,SB,19,61,Nitrous Oxide,0.14900064316889997
morning1,Dunbar,SB,19,61,Methane,3.1770037694495037
morning1,Dunbar,SB,19,61,Total Gaseous Hydrocarbons,23.302659904800006
morning1,Dunbar,SB,19,52,Total Energy,189934360.0
morning1,Dunbar,SB,19,52,Atmospheric CO2,13867.611629999998
morning1,Dunbar,SB,19,52,Nitrous Oxide,0.06669683189999999
morning1,Dunbar,SB,19,52,Methane,0.5218332529499999
morning1,Dunbar,SB,19,52,Total Gaseous Hydrocarbons,5.115413540000003
morning1,Dunbar,SB,19,42,Total Energy,0.0
morning1,Dunbar,SB,19,42,Atmospheric CO2,0.0
morning1,Dunbar,SB,19,42,Nitrous Oxide,0.0
morning1,Dunbar,SB,19,42,Methane,0.0
morning1,Dunbar,SB,19,42,Total Gaseous Hydrocarbons,0.0
morning1,Dunbar,SB,19,21,Total Energy,2930502360.42
morning1,Dunbar,SB,19,21,Atmospheric CO2,210647.44351100002
morning1,Dunbar,SB,19,21,Nitrous Oxide,0.9426963053069001
morning1,Dunbar,SB,19,21,Methane,2.6677542326779995
morning1,Dunbar,SB,19,21,Total Gaseous Hydrocarbons,26.555779754000003
morning1,Dunbar,SB,18,61,Total Energy,0.0
morning1,Dunbar,SB,18,61,Atmospheric CO2,0.0
morning1,Dunbar,SB,18,61,Nitrous Oxide,0.0
morning1,Dunbar,SB,18,61,Methane,0.0
morning1,Dunbar,SB,18,61,Total Gaseous Hydrocarbons,0.0
morning1,Dunbar,SB,18,52,Total Energy,425551471.0
morning1,Dunbar,SB,18,52,Atmospheric CO2,31129.08470000001
morning1,Dunbar,SB,18,52,Nitrous Oxide,0.0627734366
morning1,Dunbar,SB,18,52,Methane,0.50204709325
morning1,Dunbar,SB,18,52,Total Gaseous Hydrocarbons,6.533764900000001
morning1,Dunbar,SB,18,42,Total Energy,0.0
morning1,Dunbar,SB,18,42,Atmospheric CO2,0.0
morning1,Dunbar,SB,18,42,Nitrous Oxide,0.0
morning1,Dunbar,SB,18,42,Methane,0.0
morning1,Dunbar,SB,18,42,Total Gaseous Hydrocarbons,0.0
morning1,Dunbar,SB,18,21,Total Energy,1333691215.882
morning1,Dunbar,SB,18,21,Atmospheric CO2,95867.09022180001
morning1,Dunbar,SB,18,21,Nitrous Oxide,0.43301724651690005
morning1,Dunbar,SB,18,21,Methane,1.41912774525654
morning1,Dunbar,SB,18,21,Total Gaseous Hydrocarbons,13.423810767099999
morning1,Dunbar,SB,17,61,Total Energy,878755615.5272001
morning1,Dunbar,SB,17,61,Atmospheric CO2,64730.031625017
morning1,Dunbar,SB,17,61,Nitrous Oxide,0.0923558008009
morning1,Dunbar,SB,17,61,Methane,1.563385554601991
morning1,Dunbar,SB,17,61,Total Gaseous Hydrocarbons,10.733764661670001
