,link,hour,qlength
434,22035,8-9,346.092
435,22036,8-9,336.742
436,22037,8-9,318.422
437,22038,8-9,329.202
438,22039,8-9,312.282
439,22040,8-9,312.462
440,22041,8-9,26.514999999999986
441,22042,8-9,312.312
442,22043,8-9,325.072
443,22044,8-9,312.332
444,22045,8-9,0.0
445,31001,8-9,414.004
446,31002,8-9,420.55400000000003
447,31003,8-9,137.72900000000004
448,31004,8-9,414.064
449,31005,8-9,456.504
450,31006,8-9,413.934
451,31007,8-9,522.014
452,31008,8-9,450.014
453,31009,8-9,414.014
454,31010,8-9,431.894
455,31011,8-9,420.644
456,31012,8-9,130.18899999999996
457,31013,8-9,125.519
458,31014,8-9,444.774
459,31015,8-9,483.074
460,31016,8-9,68.22899999999993
461,31017,8-9,522.014
462,31018,8-9,522.014
463,31019,8-9,413.92400000000004
464,31020,8-9,530.014
465,31021,8-9,118.519
466,31022,8-9,419.784
467,31023,8-9,438.904
468,31024,8-9,413.98400000000004
469,31025,8-9,460.744
470,31026,8-9,413.934
471,31027,8-9,413.974
472,31028,8-9,118.519
473,31029,8-9,38.61900000000003
474,31030,8-9,6.788999999999987
475,31031,8-9,522.014
476,31032,8-9,420.504
477,31033,8-9,419.764
478,31034,8-9,413.944
479,31035,8-9,522.014
480,31036,8-9,528.154
481,31037,8-9,413.854
482,31038,8-9,530.014
483,31039,8-9,7.5190000000000055
484,32001,8-9,152.8359999999999
485,32002,8-9,19.626999999999953
486,32003,8-9,337.57699999999994
487,32004,8-9,355.2969999999999
488,32005,8-9,343.7869999999999
489,32006,8-9,75.41700000000003
490,32007,8-9,146.7059999999999
491,32008,8-9,239.85599999999994
492,32009,8-9,390.70699999999994
493,32010,8-9,146.67599999999993
494,32011,8-9,7.826999999999998
495,32012,8-9,171.59599999999995
496,32013,8-9,337.43699999999995
497,32014,8-9,146.4459999999999
498,32015,8-9,349.7169999999999
499,32016,8-9,146.31599999999992
500,32017,8-9,24.666999999999916
501,32018,8-9,368.07699999999994
502,32019,8-9,146.90599999999995
503,32020,8-9,153.29599999999994
504,32021,8-9,337.61699999999996
505,32022,8-9,385.18699999999995
506,32023,8-9,337.52699999999993
507,32024,8-9,83.60699999999997
508,32025,8-9,183.98599999999993
509,32026,8-9,185.77599999999995
510,32027,8-9,44.406999999999925
511,32028,8-9,76.36699999999996
512,32029,8-9,184.13599999999997
513,32030,8-9,355.14699999999993
