sim,period,inter,direc,cycle,type,vspfast,vspslow,vspmass,vehicleslow,vehiclefast,avgspeed,avgaccel,avgTT
0,morning1,Bishop,NB,18,21,3470.479474621253,461.8907171448105,5815.1890395836535,23,32,46.16883693045564,0.042805755395683626,43.18333333333333
0,morning1,Bishop,NB,18,52,28.257757414809603,32.39977440582709,517.9546642164167,2,1,31.97075,0.22749999999999998,
0,morning1,Bishop,NB,19,21,2802.55238750654,842.2884585200385,5389.9906431041045,20,39,52.12986627043092,0.1881426448736999,50.411538461538456
0,morning1,Bishop,NB,20,21,2366.2287600535237,358.85386818569566,4029.8521906401575,8,23,56.4118421052632,0.39654970760233876,41.28333333333333
0,morning1,Bishop,NB,20,52,23.129288704000516,0.0,197.5009962434604,0,1,54.793333333333344,0.14333333333333334,
0,morning1,Bishop,NB,21,21,1918.5366690513797,1012.871538697106,4334.96645761846,19,24,44.77790640394094,0.3730295566502463,41.136842105263156
0,morning1,Bishop,NB,21,52,46.12562991328745,24.832809153440586,605.9141111907907,2,2,31.973478260869566,0.4652173913043478,43.9
0,morning1,Bishop,NB,22,21,4342.365237164027,125.12733557079893,6606.528016560261,7,33,59.16273399014787,0.12474137931034489,32.892857142857146
0,morning1,Bishop,NB,22,52,6.974435782217891,0.0,59.55470714435857,0,1,53.596363636363634,-0.029999999999999995,
0,morning1,Bishop,NB,23,21,1764.6261754380043,50.171601193811895,2683.7229520831297,36,45,37.5905214368482,-0.23793742757821554,55.68235294117647
0,morning1,Bishop,NB,23,61,56.40654880234059,0.0,1294.926720238699,0,1,48.67225806451614,0.0019354838709677222,
0,morning1,Bishop,NB,23,52,24.1014193870639,0.0,205.80202014613863,0,1,51.53655172413792,0.002758620689655148,
0,morning1,Bishop,NB,24,21,3542.482368050617,1530.1670470122826,7501.4339549950155,32,44,41.204677419354844,0.3573900293255132,61.65714285714288
0,morning1,Bishop,NB,24,61,0.0,82.62349666849771,1896.7899264766083,1,0,21.16857142857143,1.5457142857142858,65.3
0,morning1,Bishop,NB,24,52,0.0,29.467714655728823,251.6248154452684,1,0,19.49142857142857,1.51,63.2
0,morning1,Bishop,NB,24,42,218.39754475925903,77.9592614578144,4906.483283729868,3,3,46.53147368421058,0.17178947368421046,44.4
0,morning1,Bishop,NB,25,21,2415.138142158688,1044.163629013839,5115.615459209933,22,31,45.908716814159284,0.4096681415929203,40.22272727272727
0,morning1,Bishop,NB,25,52,28.4765227004047,0.0,243.16102733875573,0,1,50.067499999999995,0.9125,
0,morning1,Bishop,NB,26,21,3227.883954395808,-125.44963726993427,4587.879868165742,9,32,55.98779874213833,0.010805031446541023,34.93846153846154
0,morning1,Bishop,NB,26,52,31.85237826517335,-12.87948887865497,162.00950247148046,1,2,53.966086956521714,-0.09456521739130434,
0,morning1,Bishop,NB,27,52,17.467340761429167,17.377181146136657,297.53737256870454,2,1,45.423333333333325,0.173076923076923,65.5
0,morning1,Bishop,NB,27,21,3460.297951783283,866.9616807059084,6399.151544525017,17,43,50.615480769230906,0.45199999999999985,51.223076923076924
0,morning1,Bishop,NB,28,52,17.09067719744062,69.26196132690981,737.3651803594282,2,1,17.3512,-0.2123999999999998,59.8
0,morning1,Bishop,NB,28,21,3473.740071508017,1683.6578753895783,7626.760083872164,47,54,38.10386885245894,0.053978142076502464,59.89393939393938
0,morning1,Bishop,NB,28,42,0.0,16.407128770711502,271.6364239278996,1,0,13.834285714285715,0.5414285714285715,
0,morning1,Bishop,NB,29,21,3353.2539239936664,1114.522909604222,6606.948381524557,20,40,50.441956181533584,0.3011737089201874,63.80625
0,morning1,Bishop,NB,29,42,14.229615782321675,70.78057172349018,1407.4286643462212,1,1,16.194666666666667,0.46866666666666673,
0,morning1,Bishop,NB,29,52,9.80957142618263,3.9676793097590197,117.64394403420575,1,2,41.049117647058814,-0.02970588235294117,40.7
0,morning1,Bishop,NB,30,21,2041.6674026044102,1678.138361191098,5500.848763500797,28,33,30.457500000000007,0.6132336956521738,59.75454545454546
0,morning1,Bishop,NB,30,52,39.33896682567446,39.10141469271573,669.8024177855337,2,2,39.35521739130435,0.30195652173913035,66.9
0,morning1,Bishop,NB,30,61,125.31539254132429,46.58359216302779,3946.289805029382,1,1,49.575428571428546,0.19371428571428573,
0,morning1,Bishop,NB,31,52,0.0,38.93539776816555,332.4693615423656,2,0,23.254444444444445,1.3611111111111112,
0,morning1,Bishop,NB,31,21,2318.7890616165696,700.6717285977417,4465.178616568923,19,27,50.81738522954082,0.28868263473053885,38.379999999999995
0,morning1,Bishop,NB,31,61,-14.736828127900218,0.0,-338.31377596339286,0,1,47.41,-0.93,
0,morning1,Bishop,NB,32,21,3144.9088371494213,376.7714919656082,5207.8608706953055,7,40,58.26730769230777,0.14470085470085473,35.58400000000001
0,morning1,Bishop,NB,32,52,0.0,24.03590807846004,205.24261908197028,1,0,20.283333333333335,0.7977777777777777,
0,morning1,Bishop,NB,33,21,3613.6144147197283,376.21361884448635,5900.15769603476,9,28,58.566403785488944,0.22703470031545706,35.275
0,morning1,Bishop,NB,34,21,1657.3079922127645,465.84162721234065,3139.713657205845,9,21,54.69505050505055,0.34599326599326624,42.018181818181816
0,morning1,Bishop,NB,34,52,56.86594625338139,-23.48588689073392,285.0323268976468,1,2,51.73634920634923,-0.0688888888888889,
0,morning1,Bishop,NB,34,61,24.08019734820317,0.0,552.8097647682259,0,1,55.08999999999998,0.02333333333333333,
0,morning1,Bishop,NB,35,21,1626.2657464434278,636.7356865388115,3346.5265190941354,16,27,47.06233429394814,0.24400576368876084,40.66363636363636
0,morning1,Bishop,NB,35,52,0.0,68.37639078037685,583.866000873638,2,0,18.61125,1.1575000000000002,62.35
0,morning1,Bishop,NB,35,61,0.0,69.06214000760572,1585.4614818945245,1,0,18.24266666666667,0.3693333333333334,45.4
0,morning1,Bishop,NB,36,21,1280.606200198453,686.4714848887091,2908.914480706895,14,20,49.47278481012656,0.3477848101265825,40.0
0,morning1,Bishop,NB,37,21,3023.774029584719,36.58611172442029,4525.6605769679545,4,32,60.04295188556565,0.013276983094928514,32.295
0,morning1,Bishop,NB,37,42,56.40973042359305,0.0,933.9194968930066,0,1,53.928064516129034,0.010322580645161292,37.0
