,period,inter,direc,cycle,type,pollutant,emi,sim,fuel
328,morning1,Sheldon,NB,34,21,Total Energy,7286409444.46,0,694.2970566734888
330,morning1,Sheldon,NB,33,21,Total Energy,4581159411.99,0,355.81260349113734
334,morning1,Sheldon,NB,32,21,Total Energy,6868424113.9,0,564.7413184114887
337,morning1,Sheldon,NB,31,21,Total Energy,4617937315.27,0,707.7159676008846
340,morning1,Sheldon,NB,30,21,Total Energy,4560608460.54,0,610.6897015789117
343,morning1,Sheldon,NB,29,21,Total Energy,4272169303.94,0,477.31895088141573
345,morning1,Sheldon,NB,28,21,Total Energy,4526073565.12,0,668.169725157545
347,morning1,Sheldon,NB,27,21,Total Energy,4407926706.99,0,917.5767980981772
350,morning1,Sheldon,NB,26,21,Total Energy,3646959208.7240005,0,613.8701775563542
353,morning1,Sheldon,NB,25,21,Total Energy,6375223222.95,0,896.3114185894162
356,morning1,Sheldon,NB,24,21,Total Energy,8295093556.42,0,808.57085537108
359,morning1,Sheldon,NB,23,21,Total Energy,8220301756.9,0,771.188397224056
361,morning1,Sheldon,NB,22,21,Total Energy,5237336358.059999,0,712.6521264243712
364,morning1,Sheldon,NB,21,21,Total Energy,5815361526.32,0,680.0156337783962
368,morning1,Sheldon,NB,20,21,Total Energy,7124185111.4400015,0,891.9243951245105
369,morning1,Sheldon,NB,19,21,Total Energy,5110675228.690001,0,726.8609738816083
371,morning1,Sheldon,NB,18,21,Total Energy,4991251902.57,0,741.0909016502028
373,morning1,Sheldon,NB,17,21,Total Energy,4004652889.87,0,622.8265094779878
374,morning1,Sheldon,NB,16,21,Total Energy,6728534123.47,0,625.2347350880267
376,morning1,Sheldon,NB,15,21,Total Energy,6155240569.190001,0,490.6390060318428
379,morning1,Sheldon,NB,14,21,Total Energy,2023766531.093,0,279.3820254202543
381,morning1,Sheldon,NB,13,21,Total Energy,4956729655.92,0,793.2868773624461
383,morning1,Sheldon,NB,12,21,Total Energy,7534453099.8,0,975.8528039547873
385,morning1,Sheldon,NB,11,21,Total Energy,7161818522.85,0,700.7140778460144
389,morning1,Sheldon,NB,10,21,Total Energy,6323579030.83,0,747.3042289682596
392,morning1,Sheldon,NB,9,21,Total Energy,6538132390.33,0,698.4625970210526
