sim,period,inter,direc,cycle,type,fuel
0,morning1,Sheldon,NB,3,52,3.0603714521143903
0,morning1,Sheldon,NB,3,21,373.80819192869785
0,morning1,Sheldon,NB,3,42,41.619449843342856
0,morning1,Sheldon,NB,4,21,846.7469573146926
0,morning1,Sheldon,NB,4,42,70.15048817130113
0,morning1,Sheldon,NB,5,42,3.3468700228652732
0,morning1,Sheldon,NB,5,21,1000.8479624604033
0,morning1,Sheldon,NB,6,21,710.3575942196503
0,morning1,Sheldon,NB,6,61,42.585805971663184
0,morning1,Sheldon,NB,6,52,94.29168150481084
0,morning1,Sheldon,NB,7,21,629.9501979846699
0,morning1,Sheldon,NB,7,61,20.38585598524253
0,morning1,Sheldon,NB,7,52,44.15631387522007
0,morning1,Sheldon,NB,8,21,886.1995013014348
0,morning1,Sheldon,NB,8,61,31.07149549874667
0,morning1,Sheldon,NB,8,42,23.418158913813897
0,morning1,Sheldon,NB,9,61,4.1363630258261495
0,morning1,Sheldon,NB,9,21,698.4625970210526
0,morning1,Sheldon,NB,9,42,5.51850757320045
0,morning1,Sheldon,NB,10,21,747.3042289682596
0,morning1,Sheldon,NB,10,42,50.6567107972433
0,morning1,Sheldon,NB,10,61,35.68564425344976
0,morning1,Sheldon,NB,10,52,13.51491770979731
0,morning1,Sheldon,NB,11,21,700.7140778460144
0,morning1,Sheldon,NB,11,42,16.51658681402088
0,morning1,Sheldon,NB,12,21,975.8528039547871
0,morning1,Sheldon,NB,12,42,3.2136574154934583
0,morning1,Sheldon,NB,13,21,793.2868773624461
0,morning1,Sheldon,NB,13,42,23.408130214272088
0,morning1,Sheldon,NB,14,42,28.003593041496686
0,morning1,Sheldon,NB,14,21,279.3820254202543
0,morning1,Sheldon,NB,14,52,9.212572189345636
0,morning1,Sheldon,NB,15,21,490.6390060318428
0,morning1,Sheldon,NB,15,52,3.5937578600938105
0,morning1,Sheldon,NB,16,21,625.2347350880267
0,morning1,Sheldon,NB,17,21,622.8265094779878
0,morning1,Sheldon,NB,17,52,20.65194963268687
0,morning1,Sheldon,NB,18,21,741.0909016502028
0,morning1,Sheldon,NB,18,52,35.955486173887394
0,morning1,Sheldon,NB,19,21,726.8609738816082
0,morning1,Sheldon,NB,20,21,891.9243951245105
0,morning1,Sheldon,NB,20,61,27.012065769414445
0,morning1,Sheldon,NB,20,52,41.139405002750046
0,morning1,Sheldon,NB,20,42,84.24929463983915
0,morning1,Sheldon,NB,21,21,680.0156337783962
0,morning1,Sheldon,NB,21,42,19.3827115104189
0,morning1,Sheldon,NB,21,52,23.54385397635044
0,morning1,Sheldon,NB,22,21,712.6521264243713
0,morning1,Sheldon,NB,22,52,26.817680784664656
0,morning1,Sheldon,NB,23,52,37.04248076035119
0,morning1,Sheldon,NB,23,21,771.188397224056
0,morning1,Sheldon,NB,23,42,2.366056297845062
0,morning1,Sheldon,NB,24,52,32.503114580395
0,morning1,Sheldon,NB,24,21,808.57085537108
0,morning1,Sheldon,NB,24,42,23.242834410219274
0,morning1,Sheldon,NB,25,21,896.3114185894161
0,morning1,Sheldon,NB,25,52,32.38837627599068
0,morning1,Sheldon,NB,25,61,15.878999254544851
0,morning1,Sheldon,NB,26,52,31.6593373640036
0,morning1,Sheldon,NB,26,61,4.520249628595348
0,morning1,Sheldon,NB,26,21,613.8701775563541
0,morning1,Sheldon,NB,27,21,917.5767980981772
0,morning1,Sheldon,NB,27,52,32.67158856594927
0,morning1,Sheldon,NB,28,21,668.169725157545
0,morning1,Sheldon,NB,28,52,28.987111730623145
0,morning1,Sheldon,NB,29,21,477.3189508814157
0,morning1,Sheldon,NB,29,52,63.90442863381516
0,morning1,Sheldon,NB,29,61,18.529703183139485
0,morning1,Sheldon,NB,30,21,610.6897015789117
0,morning1,Sheldon,NB,30,52,6.2991858689004285
0,morning1,Sheldon,NB,30,61,35.65235022541185
0,morning1,Sheldon,NB,31,21,707.7159676008846
0,morning1,Sheldon,NB,31,61,54.2775238878122
0,morning1,Sheldon,NB,31,42,22.731051356117447
0,morning1,Sheldon,NB,32,21,564.7413184114886
0,morning1,Sheldon,NB,32,42,7.385962457491425
0,morning1,Sheldon,NB,32,61,7.728146147946837
0,morning1,Sheldon,NB,32,52,46.22176733028188
0,morning1,Sheldon,NB,33,21,355.8126034911373
0,morning1,Sheldon,NB,33,52,9.61385148294406
0,morning1,Sheldon,NB,34,21,694.2970566734887
0,morning1,Sheldon,NB,34,42,26.435170423929428
0,morning1,Sheldon,NB,35,21,739.5884943832768
0,morning1,Sheldon,NB,35,61,14.203462878464169
0,morning1,Sheldon,NB,35,42,18.19800796345902
0,morning1,Sheldon,NB,36,21,663.299853500223
0,morning1,Sheldon,NB,36,42,28.48367107759303
0,morning1,Sheldon,NB,37,42,3.804238953131091
0,morning1,Sheldon,NB,37,21,576.7100268567658
0,morning1,Sheldon,NB,37,61,28.66488948327641
0,morning1,Sheldon,NB,37,52,34.01212852306459
0,morning1,Sheldon,NB,38,21,681.0755666315375
0,morning1,Sheldon,NB,38,42,15.583439177014537
0,morning1,Sheldon,NB,39,42,19.16112102129527
0,morning1,Sheldon,NB,39,21,581.9643510177963
0,morning1,Sheldon,NB,40,21,876.3433433342319
0,morning1,Sheldon,SB,1,21,346.0492352789615
0,morning1,Sheldon,SB,1,61,4.196416170730527
0,morning1,Sheldon,SB,1,42,23.229707852870245
0,morning1,Sheldon,SB,2,21,192.57857402810154
0,morning1,Sheldon,SB,3,21,209.81601783595423
0,morning1,Sheldon,SB,3,61,17.050423589788195
0,morning1,Sheldon,SB,3,42,19.31324276242832
0,morning1,Sheldon,SB,3,52,18.811220458758747
0,morning1,Sheldon,SB,4,21,614.1816898218658
0,morning1,Sheldon,SB,5,21,319.0480639456222
0,morning1,Sheldon,SB,5,52,9.956106853886874
0,morning1,Sheldon,SB,6,21,218.37751867569108
0,morning1,Sheldon,SB,6,52,8.688586816751844
0,morning1,Sheldon,SB,6,61,14.264356183955911
0,morning1,Sheldon,SB,7,21,343.7451419678337
0,morning1,Sheldon,SB,7,42,35.26080699786143
0,morning1,Sheldon,SB,8,42,14.169717326053737
0,morning1,Sheldon,SB,8,21,177.98343128979138
0,morning1,Sheldon,SB,8,52,34.621478705397756
0,morning1,Sheldon,SB,8,61,23.86744160835832
0,morning1,Sheldon,SB,9,61,3.55181007948565
0,morning1,Sheldon,SB,9,21,437.8416085852844
0,morning1,Sheldon,SB,9,52,34.594741210222146
0,morning1,Sheldon,SB,10,21,261.3551421003337
0,morning1,Sheldon,SB,10,42,19.65308751775595
0,morning1,Sheldon,SB,10,61,12.984738861546774
0,morning1,Sheldon,SB,10,52,45.63067275464016
0,morning1,Sheldon,SB,11,21,619.1802798477843
0,morning1,Sheldon,SB,11,52,2.9772322212357336
0,morning1,Sheldon,SB,11,61,13.85784523688895
0,morning1,Sheldon,SB,12,21,318.9533727395284
0,morning1,Sheldon,SB,12,61,5.698952893142739
